mode,n,p,k,n_train,n_test,n_features,runs,t_total_median,t_total_mean,t_total_std,t_comp_median,t_comm_median,accuracy_mean,accuracy_min,flops,flops_per_sec_median,speedup,efficiency
mpi,120,1,3,96,24,64,1,0.000211679,0.000211679,0,0.000144706,6.4877e-05,0.916666666667,0.916666666667,444672,3072934087.05,70.8620595773,70.8620595773
mpi,120,2,3,96,24,64,1,0.000258821,0.000258821,0,0.000135703,0.000115766,0.916666666667,0.916666666667,444672,3276803018.36,57.9551501202,28.9775750601
sequential,120,1,3,96,24,64,1,0.0150000099093,0.0150000099093,0,0.0149984370219,0,0.916666666667,0.916666666667,444672,29647889.2669,1,1
